method,category,framework,implementation_role,pretrained_semantic_ability,local_task_training,training_type,base_model,parameter_count,parameter_scale,trainable_parameter_count,trainable_parameter_ratio,training_hardware,evaluation_hardware,python_version,framework_version,cuda_version,training_runtime_sec,evaluation_runtime_sec,runtime_scope,peak_gpu_memory_mib,peak_cpu_memory_mib,query_count,pair_count,pairs_per_second,milliseconds_per_pair,recall_at_1,recall_at_3,recall_at_5,ndcg_at_5,mrr,pairwise_accuracy,effectiveness_comparable,resource_comparability_group,resource_strictly_comparable,measurement_status,evidence_paths,notes
BM25,lexical retrieval baseline,rank_bm25,lexical baseline,False,none,none,N/A,N/A,N/A,N/A,N/A,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,index_building,not recorded,not recorded,500,4044,not recorded,not recorded,0.23,0.554,0.784,0.5074477818389626,0.44759761904761924,0.6253015873015875,True,cpu_local_retrieval,False,metadata_only,outputs/msmarco_medium_retrieval_baseline_metrics.json; outputs/msmarco_medium_retrieval_baseline_rankings.json,BM25 parameter_count is not applicable; runtime/hardware were not recorded in the committed metrics.
Jittor MLP,lightweight neural reranker,Jittor,Jittor lightweight reproduction baseline,False,from_scratch,pairwise ranking,small MLP scorer,393985,0.394M static,393985,1.0,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,unknown,not recorded,not recorded,500,4044,not recorded,not recorded,0.228,0.506,0.712,0.4697548088809149,0.4317920634920631,0.5900865079365076,True,jittor_local_training,False,metadata_only,outputs/msmarco_medium_jittor_metrics.json; outputs/msmarco_medium_jittor_test_rankings.json; configs/msmarco_medium.yaml; logs/msmarco_medium_jittor_train.log,"Runtime, hardware, and memory are not recorded. Parameter count uses static formula: 1537*256+256+256*1+1 from configs/msmarco_medium.yaml and src/model_jittor.py."
Jittor TextCNN,lightweight neural reranker,Jittor,Jittor lightweight reproduction baseline,False,from_scratch,pairwise ranking,small TextCNN scorer,4037377,3.899M static,4037377,1.0,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,unknown,not recorded,not recorded,500,4044,not recorded,not recorded,0.18,0.45,0.678,0.4269635016598258,0.39119206349206315,0.5484396825396828,True,jittor_local_training,False,metadata_only,outputs/msmarco_medium_textcnn_jittor_metrics.json; outputs/msmarco_medium_textcnn_jittor_test_rankings.json; configs/msmarco_medium_textcnn.yaml; logs/msmarco_medium_textcnn_jittor_train.log,"Runtime, hardware, and memory are not recorded. Parameter count uses static formula: vocab_size*128 + sum(128*128*k+128 for k in [3,4,5]) + 128*3+1; vocab_size=30000."
Qwen2.5-1.5B zero-shot reranker,LLM zero-shot reranker,JittorLLM,LLM inference supplement,True,none,zero_shot,Qwen2.5-1.5B-Instruct,not recorded,1.5B class,N/A,N/A,N/A,not recorded,not recorded,not recorded,not recorded,not recorded,114.58167941868305,scoring_only,3608,not recorded,500,4044,35.29360034271419,28.333748619852386,0.236,0.552,0.812,0.520968967547992,0.45254999999999995,0.634153968253968,True,qwen_zero_shot_recorded_environment,False,measured,outputs/jittorllm_qwen2_1_5b_full/metrics.json; outputs/jittorllm_qwen2_1_5b_full/rankings.json; configs/jittorllm_qwen2_1_5b_full.yaml,"Metrics record JittorLLM backend, label-token logit-margin scoring, inference time, and observed GPU memory, but not the GPU model."
Qwen2.5-1.5B LoRA 10k-rerun,LLM LoRA reranker,PyTorch + Transformers + PEFT,RankRAG-style LLM reranking reproduction target,True,lora_finetuning,LoRA fine-tuning,Qwen/Qwen2.5-1.5B-Instruct,1552946688,1.5B class,9232384,0.5945,NVIDIA GeForce RTX 4090 D,NVIDIA GeForce RTX 4090 D,"3.12.3 | packaged by Anaconda, Inc. | (main, May  6 2024, 19:46:43) [GCC 11.2.0]",torch 2.5.1+cu124; transformers 5.12.1; peft 0.19.1,torch_cuda 12.4; nvidia_smi CUDA 13.0,187.8953287601471,444.2874002456665,scoring_only,16509.29443359375,not recorded,500,4044,9.102216263085314,109.8633531764754,0.356,0.696,0.866,0.6236426005637636,0.5632658730158726,0.7343301587301588,True,autodl_4090d_lora,False,measured,outputs/lora_ablation_data_10k_rerun/qwen_1_5b_lora_metrics.json; outputs/lora_ablation_data_10k_rerun/qwen_1_5b_lora_rankings.json; outputs/lora_ablation_data_10k_rerun/train_summary.json; outputs/e1_autodl_environment.json; logs/e1_autodl_4090d/10k_rerun_gpu.csv; logs/e1_autodl_4090d/10k_rerun_eval_gpu.csv; configs/lora_qwen_1_5b_10k_lr1e4_s800_rerun.yaml; logs/e1_autodl_4090d/10k_rerun_train.log; logs/e1_autodl_4090d/10k_rerun_eval.log,Main LoRA row uses Stage E 10k-rerun and logprob_margin scoring. Peak GPU memory is the training peak from train_summary; eval peak is lower and recorded separately in metrics.
Cross-Encoder,pretrained semantic reranker,sentence-transformers / PyTorch,external pretrained semantic reranker reference,True,none_in_this_project,external pretrained/fine-tuned checkpoint,cross-encoder/ms-marco-MiniLM-L6-v2,not recorded,MiniLM-L6 cross-encoder class,N/A,N/A,N/A,cuda,not recorded,not recorded,not recorded,not recorded,5.955293200000597,scoring_only,not recorded,not recorded,500,4044,679.0597648491253,1.4726244312563295,0.434,0.808,0.934,0.7018796875589168,0.6340539682539681,0.8048626984126984,True,pretrained_cross_encoder_unknown_hardware,False,measured,outputs/msmarco_medium_cross_encoder_metrics.json; outputs/msmarco_medium_cross_encoder_rankings.json; src/pretrained_cross_encoder_reference.py,"Cross-Encoder metrics record CUDA device and batch size 32, but not exact GPU model or peak memory."
