timestamp,memory.used [MiB],utilization.gpu [%],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/06/23 17:10:46.609, 0, 0, 28, 19.67, 210
2026/06/23 17:10:51.710, 0, 0, 28, 19.70, 210
2026/06/23 17:10:56.773, 4623, 19, 31, 92.95, 2520
2026/06/23 17:11:01.855, 5281, 19, 33, 100.18, 2520
2026/06/23 17:11:06.939, 5283, 16, 33, 95.74, 2520
2026/06/23 17:11:12.038, 5285, 19, 33, 97.24, 2520
2026/06/23 17:11:17.100, 5287, 17, 33, 93.76, 2520
2026/06/23 17:11:22.178, 5287, 16, 34, 95.47, 2520
2026/06/23 17:11:27.277, 5289, 16, 34, 91.22, 2520
2026/06/23 17:11:32.378, 5289, 19, 35, 96.01, 2520
2026/06/23 17:11:37.479, 5289, 18, 35, 97.22, 2520
2026/06/23 17:11:42.581, 5289, 16, 35, 96.30, 2520
2026/06/23 17:11:47.682, 5289, 16, 35, 95.99, 2520
2026/06/23 17:11:52.783, 5289, 15, 35, 98.29, 2520
2026/06/23 17:11:57.844, 5289, 16, 35, 95.61, 2520
2026/06/23 17:12:02.929, 5289, 15, 36, 96.96, 2520
2026/06/23 17:12:08.010, 5429, 16, 36, 98.63, 2520
2026/06/23 17:12:13.110, 5429, 16, 36, 95.74, 2520
2026/06/23 17:12:18.209, 5429, 14, 36, 94.59, 2520
2026/06/23 17:12:23.310, 5429, 16, 36, 93.60, 2520
2026/06/23 17:12:28.414, 5429, 16, 36, 96.93, 2520
2026/06/23 17:12:33.494, 5429, 17, 36, 97.58, 2520
2026/06/23 17:12:38.575, 5431, 17, 36, 97.13, 2520
2026/06/23 17:12:43.674, 5431, 18, 36, 95.05, 2520
2026/06/23 17:12:48.778, 5431, 18, 36, 93.83, 2520
2026/06/23 17:12:53.857, 5431, 16, 37, 96.20, 2520
2026/06/23 17:12:58.934, 5431, 14, 37, 97.43, 2520
2026/06/23 17:13:04.035, 5431, 18, 37, 95.00, 2520
2026/06/23 17:13:09.134, 5431, 18, 36, 98.44, 2520
2026/06/23 17:13:14.233, 5431, 16, 37, 95.45, 2520
2026/06/23 17:13:19.335, 5431, 17, 37, 93.12, 2520
2026/06/23 17:13:24.434, 5431, 14, 37, 93.94, 2520
2026/06/23 17:13:29.514, 5431, 16, 37, 97.08, 2520
