timestamp,memory.used [MiB],utilization.gpu [%],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/06/23 18:36:15.062, 0, 26, 36, 62.48, 2520
2026/06/23 18:36:20.128, 0, 0, 34, 20.45, 270
2026/06/23 18:36:25.210, 3557, 26, 37, 97.74, 2520
2026/06/23 18:36:30.273, 3579, 26, 37, 116.78, 2520
2026/06/23 18:36:35.336, 3581, 25, 38, 115.93, 2520
2026/06/23 18:36:40.397, 3581, 25, 38, 116.87, 2520
2026/06/23 18:36:45.474, 3581, 26, 38, 112.75, 2520
2026/06/23 18:36:50.537, 3581, 24, 38, 111.54, 2520
2026/06/23 18:36:55.618, 3581, 24, 38, 115.60, 2520
2026/06/23 18:37:00.699, 3581, 26, 39, 114.88, 2520
2026/06/23 18:37:05.778, 3581, 24, 38, 117.18, 2520
2026/06/23 18:37:10.859, 3581, 24, 39, 118.85, 2520
2026/06/23 18:37:15.921, 3581, 24, 39, 117.97, 2520
2026/06/23 18:37:20.981, 3581, 24, 39, 114.01, 2520
2026/06/23 18:37:26.078, 3581, 26, 39, 114.74, 2520
2026/06/23 18:37:31.160, 3581, 25, 39, 112.83, 2520
2026/06/23 18:37:36.262, 3581, 25, 39, 112.16, 2520
2026/06/23 18:37:41.366, 3581, 24, 39, 113.53, 2520
2026/06/23 18:37:46.431, 3581, 25, 39, 116.79, 2520
2026/06/23 18:37:51.530, 3581, 25, 39, 120.13, 2520
2026/06/23 18:37:56.588, 3581, 25, 39, 116.74, 2520
2026/06/23 18:38:01.649, 3581, 25, 39, 114.56, 2520
2026/06/23 18:38:06.726, 3581, 25, 39, 116.16, 2520
2026/06/23 18:38:11.822, 3581, 27, 39, 120.16, 2520
2026/06/23 18:38:16.885, 3581, 24, 39, 117.03, 2520
2026/06/23 18:38:21.962, 3581, 26, 39, 120.35, 2520
2026/06/23 18:38:27.021, 3581, 26, 39, 114.54, 2520
2026/06/23 18:38:32.118, 3581, 25, 39, 116.98, 2520
2026/06/23 18:38:37.218, 3581, 26, 40, 112.50, 2520
2026/06/23 18:38:42.298, 3581, 25, 39, 114.78, 2520
2026/06/23 18:38:47.402, 3581, 23, 39, 113.66, 2520
2026/06/23 18:38:52.502, 3581, 27, 40, 121.00, 2520
2026/06/23 18:38:57.582, 3581, 25, 39, 112.33, 2520
2026/06/23 18:39:02.690, 3581, 26, 39, 112.65, 2520
2026/06/23 18:39:07.757, 3581, 26, 40, 120.57, 2520
2026/06/23 18:39:12.853, 3581, 22, 39, 113.64, 2520
2026/06/23 18:39:17.950, 3581, 26, 40, 115.07, 2520
2026/06/23 18:39:23.017, 3581, 25, 39, 119.36, 2520
2026/06/23 18:39:28.113, 3581, 24, 39, 111.47, 2520
2026/06/23 18:39:33.214, 3581, 26, 40, 116.20, 2520
2026/06/23 18:39:38.316, 3581, 27, 40, 117.31, 2520
2026/06/23 18:39:43.413, 3581, 25, 39, 119.14, 2520
2026/06/23 18:39:48.489, 3581, 27, 40, 120.01, 2520
2026/06/23 18:39:53.548, 3581, 25, 39, 117.94, 2520
2026/06/23 18:39:58.625, 3581, 25, 39, 118.01, 2520
2026/06/23 18:40:03.722, 3581, 26, 40, 117.50, 2520
2026/06/23 18:40:08.785, 3581, 26, 40, 118.47, 2520
